scolname,location_country,location_state,location_city,scale_students,scale_faculty
Julie Martin,Comoros,voice,project,7725,2239
Benjamin King,United Kingdom,almost,mean,8868,4775
Ronald Morales,Gabon,cause,really,5414,562
Karen Smith,Colombia,everything,thought,4810,246
Julie Calderon,France,image,human,3972,4786
Patrick Blankenship,Republic,interesting,certain,8274,4515
Steven Anderson,Dominica,mean,military,3767,2531
Michelle Parker,Cyprus,air,opportunity,6608,3426
Anthony Brady,Dominica,model,he,1838,4101
Erin Thomas,Comoros,its,during,1169,4327
Michelle Hudson,France,information,name,7423,1577
Tiffany Thompson,Cyprus,respond,eat,4655,3902
Veronica Williamson,Dominica,special,plant,2549,2695
Brittany Wood,East Timor,hope,either,1389,1729
Gary Butler,France,condition,knowledge,6956,812
Courtney Brown,Dominica,of,while,8578,1703
Carlos Ray,Afghanistan,among,whole,7449,870
Joshua Moore,Cyprus,fish,early,5423,310
Brent Lee,France,lawyer,reality,321,4952
Matthew Harris,China,quickly,over,3341,2638
Samantha Gonzalez,Dominican Republic,east,probably,3862,825
Jesse Moreno,Gabon,Republican,hot,5026,1380
Christine Miller,Angola,newspaper,answer,6029,4204
Willie Hayes,Gambia,set,maintain,3014,817
Jennifer Cox,Afghanistan,party,answer,3847,2166
Jason Wilson,Germany,entire,town,9300,1331
Mary Richmond,Afghanistan,bit,almost,7896,3168
Tammy Ramirez,Italy,environmental,reflect,6860,4053
Tracey Higgins,Cuba,buy,someone,9919,1387
Hailey Howard,Congo,generation,fast,9343,3045
David Todd,Colombia,edge,source,323,856
Jesse Duran,Ireland,responsibility,whether,2553,939
Steven Walsh,Czech,where,song,2628,2466
Sarah Davis,Japan,daughter,outside,5783,1732
Jeremy Lester,Argentina,organization,drop,3795,2571
Andrew Cox,Antigua,magazine,eye,8826,2501
Ernest Navarro,Croatia,represent,especially,2451,4099
David Watkins,Andorra,certainly,develop,8548,2504
Autumn Sanchez,Argentina,own,stop,9682,746
Corey Rice,Gabon,full,certain,8629,4766
Amber Mills,Andorra,name,work,3125,2899
Steven Smith,Korea South,already,so,3804,3522
Paula Summers,Argentina,everyone,suffer,8943,2430
Nicole Mccoy,France,for,part,1429,3855
George Johnson,Ireland,two,week,2540,2778
Jennifer Ramirez,Germany,trial,certainly,5394,2807
Anthony Hall,Argentina,inside,benefit,491,3861
Sandra Smith,Dominican Republic,work,just,1239,2822
Stacey Coleman,France,foreign,offer,3681,490
Rachel Mckinney,Andorra,dog,health,4822,3929
Yolanda Griffin,Andorra,likely,true,5677,2084
Natalie Deleon,Djibouti,form,song,2464,4469
Zachary Rogers,United States,station,woman,856,2478
Travis Peck,Denmark,coach,bit,1019,2864
Courtney Pacheco,United Kingdom,none,choice,5935,4531
Troy Guzman,Dominican Republic,my,here,5632,1877
Alexander Wilson,Korea South,family,teach,6785,1907
John Hall,Egypt,sit,leave,8390,4580
Phillip Perry,Congo,draw,turn,2156,2052
George Thompson,China,next,figure,8545,2616
Joel Gonzalez,Dominican Republic,scientist,front,9489,2296
Melinda Wallace,Czech,trial,yes,8878,4280
Dennis Zuniga,United States,seat,level,8289,887
Brandon Adams,Cyprus,impact,all,7282,723
Craig Williams,Argentina,police,up,8887,3464
Edward Butler,Angola,anyone,data,89,1359
John Keller,Albania,policy,long,3848,141
Sarah Diaz,Dominica,approach,have,3338,456
Daniel Henry,Czech,action,clearly,2604,3624
Ian Ruiz,Congo,occur,kid,3609,3076
Christopher Martinez,Albania,physical,hair,3181,3114
Melissa Hogan,Japan,record,want,5086,454
Oscar Villanueva,Comoros,next,over,5143,4886
William Richardson,Dominica,player,pull,2712,4946
Brian Hawkins,Costa Rica,medical,analysis,7453,1828
Gary Meyers,East Timor,according,character,7682,417
Kristen Williams,Congo,trouble,relate,6027,2925
Julie Collins,Egypt,second,front,9970,624
Angela Brown,Andorra,unit,behavior,7950,4459
Bethany Miles,Croatia,form,box,494,3246
David Howell,Andorra,point,have,7108,4524
Laura Smith,Cuba,describe,speech,7971,495
Brandon Park,Antigua,off,street,9701,2387
Connie Wheeler,Antigua,population,ground,3248,3116
Dana Faulkner,Ecuador,across,really,3382,2545
Sheri Hill,Dominican Republic,be,education,3918,4471
Brooke Gordon,United States,treat,turn,3638,3641
Michael Best,Argentina,when,response,3521,4999
Sean Lin MD,Italy,audience,no,5220,1184
Samantha Gamble,Dominican Republic,TV,air,1597,1796
Randy Mcpherson,United Kingdom,science,throw,1655,1409
Emma Roberts,Ireland,campaign,above,947,2860
Toni Knox,Dominica,research,deep,8323,350
Manuel Young,Congo,fine,tell,158,2377
Adam Howell,Italy,big,pressure,1549,158
Catherine Rogers,Japan,such,American,6240,2538
Samantha Warren,Angola,recent,toward,2338,509
Joseph Perkins,Japan,major,whatever,408,3251
Lisa Morales DVM,Gabon,similar,miss,8933,1620
George Hamilton,Korea South,world,series,1822,2873
Rhonda Chung,Djibouti,office,process,2935,2068
Richard Blackburn,France,rich,turn,6875,3041
Julie Wright,Congo,all,we,59,119
Nicole Espinoza,Croatia,blood,good,2663,2319
Keith Shaw,Japan,how,time,6235,4946
Evelyn Jackson,Dominican Republic,of,Mr,5156,782
Steven Lynn,China,hit,international,8403,314
Nicole Rojas,Ireland,once,action,9088,1931
Andrew Leon,Germany,beyond,similar,9454,1248
Rachel Vazquez,Georgia,heavy,marriage,46,872
Joseph Smith,Albania,laugh,you,7314,573
Kenneth Conway,Dominican Republic,where,cover,3593,4017
Patrick Gates,United Kingdom,wait,class,215,1457
Jessica Miller,Argentina,radio,wall,6658,3087
Christian Adams,Germany,hard,wrong,9931,4648
Amanda Reynolds,Czech,per,there,4199,544
Robert Robinson,Albania,term,discover,4162,1723
Brett Sanchez,Dominican Republic,require,pretty,7971,1624
Thomas Jones,United Kingdom,mention,argue,8636,682
Kimberly Waters,Argentina,pick,visit,5743,4263
Kristin Garcia,Afghanistan,maybe,according,5571,3668
Tammy Myers,Ecuador,front,offer,8127,3304
Kathleen Lee,United States,fine,back,1865,888
Rebecca Smith,Cuba,more,get,1550,4789
Gabriel Lewis,Dominican Republic,look,seven,8610,4385
Joseph Ortega,Croatia,point,east,936,3108
Randall Andrews,Dominican Republic,gas,edge,2655,3632
Adam Rodriguez,Ireland,article,rich,6909,2730
Timothy Reid,Albania,also,himself,5806,3582
Valerie Hayden,United States,score,data,8160,55
Eileen Edwards,Republic,likely,hot,6067,2324
Brenda Trevino,Afghanistan,already,score,2603,2994
David Montgomery,Dominica,range,recently,4283,4276
Misty Casey,Gabon,in,billion,5274,346
Laura Roberts,France,between,dog,7540,401
Kayla Middleton,Republic,hundred,teach,3377,470
Jacob Mcintyre,Japan,environmental,modern,2573,58
Sheri Wong,Antigua,soon,visit,1671,878
Brittany Mcpherson,Colombia,religious,computer,5952,3437
Kayla Mitchell,Comoros,usually,condition,2693,3004
Jared Hernandez,Angola,image,book,2759,1952
Joseph Woodard,Italy,let,movie,726,3516
Gabriel Barnett,Ecuador,clear,hold,1515,3934
Michael Obrien,Egypt,interesting,method,6767,4788
Tyrone Holmes,Algeria,strategy,southern,796,4659
Bridget Burgess,Croatia,know,own,1441,3080
Alexander Goodman,Algeria,science,against,6484,4477
Mark Smith,Dominican Republic,probably,describe,9490,2656
Andrew Burnett,Croatia,common,affect,3458,3185
Lauren Freeman,Egypt,pattern,outside,2024,4998
Michelle Garcia,Algeria,yard,character,8716,1162
Teresa Ortiz,Colombia,population,husband,7335,4586
Amber Villarreal,Costa Rica,national,ball,4040,1439
Kelly Miller,Antigua,ever,north,7667,2814
Christie Molina,Ireland,let,kind,9594,346
Amber Smith,United Kingdom,page,technology,9199,1168
Daniel Williams,Germany,term,involve,3222,4171
Justin Mejia,United Kingdom,trial,skill,8091,489
Rebecca Reynolds,Dominica,concern,sit,4197,1683
Kim Petersen,Djibouti,hour,plan,2180,3009
Tyler Contreras II,Ecuador,million,about,1945,4252
Gregory Stewart,Albania,know,on,5092,344
Kelly Bailey,Japan,various,certain,8151,2577
Kimberly Sullivan,Cuba,something,project,2592,4218
Timothy Crawford,Gambia,song,water,6577,4461
Corey Anderson,Antigua,dinner,effort,9471,560
Tyler Jones,Italy,official,foreign,2593,1230
Melanie Haynes,United States,determine,and,1263,1743
Daniel Bush DDS,United Kingdom,same,issue,2584,2843
Brooke Chavez,Afghanistan,listen,whatever,8613,3201
Thomas Jenkins,Gambia,security,night,882,1563
Jasmine Wagner,Andorra,case,school,4243,513
Michelle Martin,China,draw,evidence,75,4298
Barry Perez,Congo,consumer,before,3716,1888
Dr. Amber Russell,Germany,step,wear,8584,3134
Rhonda Branch,France,strategy,rich,3210,2073
Joel Mendez,Korea South,trial,family,3862,516
Matthew Smith,Egypt,argue,song,5600,1972
Sandra Trujillo,Dominican Republic,record,exist,7723,4398
Gabriel Robles,East Timor,eight,the,8301,1569
Felicia Allen,Gabon,medical,attention,339,3813
Marie Walker,Cuba,several,think,9924,4752
Debra Sanford,Gabon,drop,force,1022,2160
Samantha Maldonado,Gabon,even,entire,9212,1985
Courtney Hansen,Italy,traditional,agreement,7572,4447
Michael Perez,China,different,institution,4407,3581
Martha Moore,Andorra,most,make,7992,1788
Ashley Stevenson,Germany,stop,others,1975,1649
Heather Gardner,Cyprus,pressure,economy,720,4549
Paula Jimenez,Andorra,speak,former,3741,1964
Jason Long,United States,yes,although,3014,4373
Alexandra Roberts MD,Croatia,out,give,99,3661
Kara White,Japan,imagine,win,6607,1349
Courtney Robinson,Albania,my,central,7612,617
Edward Fuller,Andorra,pattern,show,868,1783
Billy Morales,Korea South,anything,herself,3143,2273
Alexander Gibson,Dominican Republic,job,picture,9866,510
Adrienne Davis,Colombia,pressure,stage,9965,1179
Vanessa Kelly,China,middle,line,9675,1738
Janet Nichols,Argentina,wait,medical,4635,3939
John Garza,Korea South,region,road,2886,639
Adam Snyder,Colombia,few,source,279,620
Kenneth Conner,Gambia,without,key,4446,4649
Joseph Rivera,United States,may,responsibility,1077,3221
Kristy Martin,Comoros,down,part,1287,4006
Michael Williams,United Kingdom,similar,glass,8383,3382
Miranda Madden,Cuba,east,position,5260,1051
Chelsea Allen,Antigua,dream,religious,7126,563
Jessica Fields,Afghanistan,officer,sister,7902,2283
Adam Summers,Georgia,author,several,3696,1398
Kristen Stevens,France,address,current,6507,2409
Kayla Gaines,Gabon,mouth,move,6958,3026
Sarah Lang,Georgia,effect,her,4693,2035
Matthew Finley,Denmark,second,total,1929,3235
Andrea Anderson,Cyprus,idea,popular,9069,1949
Daniel Middleton,Colombia,if,small,8546,1169
David Greene,Korea South,administration,condition,5025,3735
Hayley Galloway,Albania,morning,worry,3633,2173
Cameron Fisher,Afghanistan,cup,environmental,8784,2447
Tracy Berger,Dominican Republic,serve,blue,6501,4192
Gabriel Hill,Republic,some,discover,7060,822
Samuel Wood,Afghanistan,throughout,inside,9787,306
Jennifer Clements,United States,nation,worry,1041,4185
Tina Carrillo,Argentina,series,artist,2445,15
Amanda Robbins,United Kingdom,food,seem,8237,3071
Austin Garza,Korea South,base,indicate,2926,4566
Kathy White,Japan,myself,price,5641,1444
Caitlin Walker,United States,their,sure,7053,4105
John Moore,Colombia,modern,role,5803,3596
Ashley Williams,Cyprus,growth,system,6151,3888
Megan Beck,Comoros,information,fund,9815,4645
Jorge Ross,Angola,usually,find,2541,3103
Katie Simmons,Dominican Republic,realize,serious,787,3890
Joanne Wright,Afghanistan,fund,culture,5442,1432
Loretta Bennett,Croatia,item,yard,5713,3519
Jesse Sanchez,Argentina,technology,middle,4853,1935
Robert Jackson,United States,everybody,bar,420,1687
Sandra Mcclure,Ireland,method,future,1165,1148
Steven Wall,Korea South,security,question,4867,830
Kevin Roberson,France,realize,myself,4051,1064
Ronald Austin,East Timor,feeling,throw,8985,3849
Jason Davidson,Dominican Republic,house,several,8318,1903
Colleen Serrano,Italy,teach,require,4566,581
Mathew Jordan,Cyprus,well,everything,4866,1639
Thomas Torres,United States,campaign,all,4723,1165
Antonio Sherman,Costa Rica,create,carry,4889,914
James Underwood,Costa Rica,page,break,8197,411
Stephanie Peterson,Cuba,everybody,blood,4522,4344
Stacey Herring,Republic,seek,lose,5149,3521
Michael Moore,Korea South,specific,under,9533,3076
Jacob Harris,Antigua,size,personal,9402,3299
Andrea Moody,Dominica,develop,race,4153,891
Adrian Cox,Andorra,world,hundred,4668,2621
Emily Adams,Angola,wish,budget,9704,1558
Norma Ochoa,France,source,nothing,4756,4349
Jesse Williams,Afghanistan,drop,discuss,1710,4173
Beth Branch,Cyprus,community,ahead,8669,1389
Gina Ramos,Republic,politics,shoulder,433,1745
Brenda Brooks,Gambia,food,deep,876,801
Megan Garrett,United Kingdom,because,more,3816,4912
Casey Ramos,Angola,study,course,1350,32
Alexis Adams MD,Congo,generation,too,4752,987
James Christensen,East Timor,already,position,998,474
Erin Sullivan,Dominican Republic,sort,miss,948,3813
Kristin Lewis,Afghanistan,difficult,soldier,3835,4201
Daniel Williams,Angola,stay,plant,7661,4348
Dennis Green,Croatia,open,moment,3856,3639
Brandon Jefferson,United States,per,side,1185,3418
Charles Roberts,China,few,people,6634,1720
April Thomas,Ireland,single,glass,4158,2534
Nicholas Davis,Japan,after,likely,3351,764
Rhonda Burnett,Costa Rica,rest,become,5835,3265
Amanda Jefferson,United States,table,race,8970,2635
Edward Howell,China,hard,actually,2688,1396
Jean Lynch,United States,painting,democratic,5569,4321
Jeffrey Hawkins,Gambia,they,spring,1794,2960
John Garcia,Ireland,second,nothing,4051,2565
Eric Murray,Republic,coach,space,2201,2702
Matthew Cruz DDS,Costa Rica,under,watch,2282,2549
Kerry Rogers,Andorra,speak,else,4995,187
Christine Rodriguez,Italy,national,evening,7653,991
Jose Sullivan,Colombia,ok,nature,9735,68
Sheena Goodwin,Algeria,compare,begin,8452,3435
Daniel Harvey DDS,Japan,require,phone,2671,775
Jennifer Thomas,Argentina,some,maintain,9769,3465
James Jordan,Dominica,dark,figure,4381,2514
Steven Robles,Georgia,including,talk,4141,527
John Powell,China,provide,specific,3713,3624
Amanda Pena,Colombia,particularly,charge,2306,2985
Kyle Meyers,Gabon,every,leader,4229,3813
Katelyn Pratt,France,his,church,5014,884
Sarah Davis,Georgia,Mr,ground,1765,933
Deborah Collier,Congo,style,policy,3531,3512
Pamela Zamora,Antigua,answer,commercial,8705,2228
Melissa Lopez,United Kingdom,record,friend,5762,3493
Joseph Schwartz,Czech,entire,too,1696,1144
Joshua Villarreal,Antigua,play,let,5985,1352
William Cole,Angola,over,minute,5087,1401
Jeffrey Lewis,Gabon,when,you,914,3020
Caitlin Douglas,Congo,book,run,5709,293
David Clark,Dominica,official,treat,9201,3914
John Payne,Argentina,it,agency,8639,3636
April Hunter,Ireland,yard,medical,9059,512
Jordan Bond,Ecuador,by,few,6097,337
Renee Hernandez,Djibouti,career,already,8643,4642
Brandon Winters,Gambia,property,try,7077,1777
Colleen Ortega,Angola,soon,player,6767,2012
Tina Potts,Dominica,firm,customer,2256,1275
Corey Allen,Czech,gun,sound,228,3902
Steven Davis,Germany,fire,traditional,1322,2892
Nathaniel Pineda,Dominican Republic,seek,fine,8720,834
Candice Bishop,East Timor,reveal,among,5873,3306
Ross Rose,Colombia,happen,base,8619,3787
Rodney Ortiz,Argentina,significant,financial,4155,2352
Patricia Stewart,Japan,doctor,place,1471,4390
Emily Cohen,Comoros,better,certain,8489,2652
Scott Stewart,France,produce,blue,8274,3454
Charles Lyons,United Kingdom,body,perform,9348,2860
Krista Moore,Gabon,yourself,interview,2074,2120
Krista Esparza,Colombia,west,collection,5986,1607
James Camacho,Republic,sense,moment,7077,2930
Benjamin Wolf,Japan,support,from,3854,3640
Brandon Roberts,Algeria,nature,stuff,5986,760
Kyle Moore,Gabon,analysis,different,7002,730
Nicole Flynn,East Timor,one,candidate,4590,3531
Stacie Robinson,Egypt,student,despite,3222,3830
Jacob Jones,United States,picture,west,8618,391
Nicole Taylor,China,major,six,8233,3673
Cody Carter,Algeria,provide,lot,5218,408
Scott Green,Algeria,business,crime,3621,2876
Amy Larson,Afghanistan,rock,old,1936,1180
Paul Jones,Japan,personal,ok,7994,1375
Kelly Rodriguez,Dominica,suffer,television,7251,3789
Lori Patel,Albania,may,number,201,3215
Margaret Crane,Germany,man,back,5776,4148
Roy Jensen,Gambia,quality,anyone,351,1932
Gary Brown,Colombia,federal,language,615,2006
Brian Price,Angola,popular,wrong,7289,1199
Lauren Callahan,Comoros,matter,whether,6441,879
Michael Weiss,Angola,and,nation,7592,4126
Larry Cruz DDS,Croatia,speech,nor,1425,4237
Anthony Carter,Croatia,imagine,young,9806,2532
Jessica Herring,Egypt,yes,forget,4894,2777
Aaron Rodriguez,Congo,middle,energy,6148,1101
Jennifer Taylor,Afghanistan,official,parent,8438,4516
Jane Jones,Congo,painting,pick,6998,2807
Joan Snyder,Argentina,western,boy,2699,2191
Carol Smith,Italy,use,account,9180,3887
Elizabeth Harrison,Antigua,stand,near,9912,4364
Jason Mccall,Argentina,long,save,8989,1172
Anthony Gonzalez,Cyprus,race,oil,6685,4451
Matthew Bradford,East Timor,contain,star,3204,1528
Robert Johnson,Comoros,story,test,5544,1151
Katie Andrews,Djibouti,action,seem,9655,3650
Pamela Campos,Dominican Republic,rest,both,6219,1725
Brandon Ayala,Egypt,small,model,3212,4221
Megan Fernandez,Comoros,beat,issue,3848,1642
Jacqueline Aguirre,Argentina,big,unit,9640,3732
Jeremy Hanson,France,happy,enjoy,5582,4983
Marilyn Johnson,Algeria,industry,upon,8143,2122
Mark Krause,Korea South,southern,song,180,3081
Michele Stout,Georgia,data,say,8011,1047
Rhonda Ellis,France,hair,never,9399,2372
John Howard,Dominica,expect,recognize,7862,4122
Eric Miller,Antigua,near,base,1367,3426
Amanda Davis,United States,next,financial,2893,4199
Meagan Callahan,Germany,drop,use,9511,127
Morgan Smith,Dominica,pretty,here,8042,4209
Clifford Bailey,Czech,toward,especially,6658,4348
Shirley Mcintosh,Comoros,site,charge,3239,4766
Holly Austin,Costa Rica,fight,traditional,3637,3213
Andrew Charles,Japan,free,guy,1675,2816
Wendy Hodge,Denmark,region,across,9996,3014
Sandra Alvarez,France,must,tell,3370,4976
Emily Nelson,Cyprus,despite,however,6890,4039
Linda Pierce,Algeria,serious,with,9810,933
Noah Campbell,Denmark,matter,job,5085,4348
Drew Aguilar,Republic,more,property,6886,21
Rebecca Anderson,Dominican Republic,finish,power,150,1230
George Thomas,Congo,buy,eat,7201,3689
Robert Hudson,East Timor,within,simply,1045,3335
Nicholas Noble,Andorra,ahead,seem,9372,98
Amy Kelly,United States,wall,hotel,4023,2444
Ashley Thomas,Djibouti,why,performance,9676,1545
Ashley Sawyer,Albania,beautiful,agency,4110,2757
Dr. Michele Turner MD,Georgia,special,official,3934,4161
William Vazquez,Ecuador,Congress,each,3705,4037
Cynthia Gardner,Congo,speak,change,2239,3672
Thomas Peterson,Italy,movie,deal,7245,1258
Lisa Brooks,Korea South,guy,believe,7088,3438
Dr. Victoria Johnson,Antigua,well,answer,3409,1975
Brianna Smith,Croatia,her,no,8891,1788
Abigail Hernandez,Djibouti,image,sea,6242,1329
Tracy Nguyen,Albania,like,material,5793,3482
Corey Perkins,Italy,its,likely,4791,4334
Keith Peterson,United States,interest,tax,1611,1106
Donald Vargas,Czech,result,let,509,3106
George Erickson,Costa Rica,exist,at,5880,875
Amber Hernandez,Japan,visit,maintain,4315,2818
Brett Yoder,Ecuador,forget,drop,8420,4970
Beth Hayden MD,Comoros,machine,pay,1835,1769
Anthony Gibson,Algeria,Democrat,as,4879,2378
Jerry Huynh,Czech,hundred,save,7878,4291
Rachel Leach,Cuba,forward,ago,6568,3136
Kathleen Wright,Denmark,test,follow,2615,1979
Brenda Stone,Angola,former,firm,4610,4448
Kathleen Ramirez,United Kingdom,view,always,7252,1831
Alison Cohen,Czech,measure,radio,1417,1512
Michele Espinoza,France,which,peace,6844,820
Deborah Woods,Cuba,administration,effect,5458,3866
Peter Humphrey,Costa Rica,training,share,5254,4930
Shelby Smith,Congo,quite,war,512,3168
Nicole Montgomery,Croatia,soldier,recognize,1962,3143
Melissa Schmitt,United Kingdom,unit,should,9937,4437
Karen Munoz,Dominica,soldier,form,6641,1198
Adam Knox,Angola,necessary,character,672,2576
Mary Delgado,United Kingdom,guy,go,4453,2536
Ashley Bradley,Czech,above,affect,2912,349
Terri Johnson MD,Antigua,interview,realize,4182,2172
Misty Pham,Denmark,pattern,section,6070,2963
John Thomas,Congo,nearly,girl,8012,999
Kim Manning,Costa Rica,adult,expert,9394,574
Tonya Moore,Korea South,maintain,base,9017,2432
Martha Novak,Angola,father,mission,2244,3724
Frank Maldonado,United States,easy,place,7663,2602
Amy Collins,Afghanistan,at,fast,9588,619
Bobby Jackson MD,Japan,rock,method,7509,2410
Elizabeth Wilkinson,Argentina,your,store,4118,286
Diana Lutz,Italy,doctor,expert,2640,3325
Christopher Swanson,Dominica,also,whatever,126,818
Mark Figueroa,Croatia,throughout,week,7328,3
John Myers,Costa Rica,list,century,2741,1437
Kelly Wilson,Gambia,tend,mother,9560,3910
Lisa Smith,Djibouti,laugh,turn,906,1366
Michael Huynh,Argentina,set,seat,2303,4849
Erik Aguilar,Cuba,bring,determine,3423,911
Brian Hamilton,Gabon,song,establish,6075,1134
Emma Henry,Ecuador,so,of,9485,3733
Carolyn Johnson,Italy,expect,people,5766,1748
Jillian Morales,Dominica,late,measure,268,3661
Scott Martinez,Cyprus,skin,control,2296,1875
James Mueller,Angola,use,their,3050,3591
Colton Davila,Denmark,decision,thing,2415,961
Jason Estrada,United States,dog,reduce,3049,2410
Judy Hunt,Gambia,particular,me,4778,4368
Heather Jackson,Algeria,series,student,1272,512
Laura Berger,Angola,her,group,3861,2943
Caitlin Sandoval,Japan,sit,financial,2290,2303
Adam Andersen,Dominica,low,thus,5898,2191
Charles Salazar,East Timor,size,likely,5055,3452
Erik Huff,Costa Rica,only,house,2684,1481
Carl Mcfarland,Croatia,message,ago,2124,2119
James Hensley,Japan,situation,whatever,6616,4198
Richard Davis,Denmark,short,fast,4723,1878
Angela Dillon,France,up,sure,393,166
Christopher Garner,Congo,reality,responsibility,9116,637
Adam Warner,Italy,about,serve,5323,1766
Kristina Myers,Djibouti,bill,agent,7118,298
Ashley Ross,Algeria,adult,whatever,5898,4911
Linda Farmer,Ecuador,everyone,chair,8368,4022
Rachel Carter,Algeria,keep,season,3597,2055
Brenda Lowe,Ecuador,quality,ten,4059,1503
Robert Bishop,Cuba,action,consumer,2764,1562
Faith Price,Croatia,want,yard,4316,2208
Erika Morris,Denmark,carry,sort,7001,1505
Katherine Paul,Argentina,public,keep,6651,482
Shelly Kelly,Egypt,he,leader,8993,1011
Matthew Cook,Afghanistan,majority,ball,5030,4912
Aaron Castro,France,candidate,together,2034,2544
Nicole Gay,Republic,positive,best,622,3079
Lori Garcia,Dominican Republic,financial,couple,7277,1836
Dr. Victoria Mata,East Timor,reason,skin,1428,4054
Christopher Wilson,Cyprus,condition,garden,3691,3379
Kelly Williamson,Ireland,health,their,6430,2426
Nicole Reid,Italy,do,share,8087,2863
Raven Lopez,East Timor,later,thousand,7493,385
Nancy Lee,Japan,issue,drive,4822,2744
Andrew Fox,Djibouti,help,participant,1808,1767
Angela Aguilar,Djibouti,owner,chance,7488,1789
Brittany Anderson,United States,present,along,8917,2872
Christian Anderson,United States,necessary,dinner,1068,1445
Anthony Kim,United Kingdom,while,large,6462,1588
Jennifer Atkins,Gambia,more,candidate,1297,3203
Katherine Jones,Djibouti,now,win,4639,4231
Teresa Miller,Afghanistan,factor,society,3807,4856
Haley Sloan,Congo,hair,family,7596,2251
Alan Leonard,Angola,key,author,8885,2498
Laura Santiago,United Kingdom,herself,protect,8819,1097
Ruben Hubbard,Comoros,turn,perhaps,8301,375
Jasmine West,Japan,wish,let,5611,3017
William Rollins,China,huge,trouble,3683,322
Kevin Vasquez,Albania,finally,and,4587,4228
Jill Fuentes,Denmark,few,song,385,3839
Joyce Vasquez,United Kingdom,at,west,8587,1349
Ross Mitchell,Cyprus,ten,nice,174,1086
Kimberly Pittman,United States,let,financial,7275,4756
Robert Hardy,Korea South,data,dinner,6245,823
Sara Young,Ireland,institution,everything,4357,4590
Erin Ward,Ecuador,six,your,8306,3879
Tiffany Payne,Albania,design,charge,3118,2577
Noah Davis,Croatia,source,daughter,6452,3608
Julie Anthony,Japan,order,defense,1033,2658
Ann Brock,Congo,stay,avoid,5526,2607
Allison Mahoney,Argentina,bill,either,4214,4704
Scott Chavez,Ireland,catch,rate,189,184
Deborah Jones DDS,Republic,be,single,1282,3731
Patricia Martinez,Republic,exist,television,456,1484
Gregory Lewis,Afghanistan,human,poor,7455,2964
Andrea Alvarado DVM,Croatia,ready,why,5736,765
Steve Garcia,Albania,course,require,7277,1142
Rodney Sandoval,Denmark,audience,role,3689,543
Paul Taylor,France,charge,beyond,1668,162
Lauren Knight,Cyprus,very,water,1937,2907
Mindy Sanchez,Antigua,available,owner,9441,3758
Ryan Harris,Gambia,east,particularly,736,2123
Krista Johnston,Dominican Republic,country,prove,5868,3359
Amber Thompson,China,drug,yet,3474,866
Todd Donaldson,Germany,hundred,air,2777,408
Cynthia Harris,Republic,world,interesting,1803,1799
John Perez,Cyprus,reality,often,4899,4764
Melissa Johnson,Comoros,study,subject,4870,2898
Brooke Gonzales,Costa Rica,though,some,9268,4710
Michael Townsend,Comoros,culture,effort,3934,4180
Bryan Graves,Croatia,throw,down,7310,4455
Pamela Ramos,Dominica,eight,behavior,8304,3217
Tammy Price,Ireland,stop,worry,5610,3426
Brooke Carroll,Angola,rich,arrive,2527,2742
Cynthia Frank,East Timor,century,week,1278,2526
Mr. Patrick Maxwell,Costa Rica,at,parent,3275,2983
Tracy Nolan,Antigua,number,explain,2212,220
Eric Miller,Comoros,quite,trial,8767,1746
Connor Young,Dominican Republic,night,arrive,9521,1982
Theresa Bryant,Egypt,alone,south,5464,1918
Katie Hudson,Algeria,rather,against,5348,1480
Steven Hall,Comoros,teach,floor,1568,949
Thomas Schmidt,Andorra,never,fall,928,4730
Charles Rodriguez,Italy,door,ask,629,4829
Rebecca Duncan,Italy,surface,send,8025,3600
Nathan Castaneda,Japan,draw,chance,2335,754
Joseph Brown,Cyprus,always,but,428,3904
Darlene Carter,Italy,kid,arm,3570,4290
Carmen Johnson,United Kingdom,task,everybody,4710,27
Angela Smith,United Kingdom,edge,radio,9743,3856
Jennifer Christensen,Djibouti,lose,begin,5012,1696
Darius Elliott,Gabon,increase,whose,7047,4709
Brett Stewart,Algeria,radio,policy,5525,1222
Dylan Patton,Congo,true,buy,2170,4755
Pamela Hicks,Antigua,expect,year,9446,537
James Carlson,Germany,nothing,particular,4037,2012
Jennifer Bailey,Georgia,seven,current,1220,684
Stephen Molina,Korea South,ground,feeling,5088,2033
Tonya Dominguez,Cuba,soon,detail,1057,3985
David Smith,Denmark,artist,affect,3957,4047
Roberta Jackson,Germany,who,be,5601,2593
Carl Fischer,Egypt,officer,support,5982,3502
Michael Kramer,United Kingdom,three,before,6061,3172
Lori Brown,Dominica,people,family,3327,3218
Michael Herman,Djibouti,fine,majority,4011,4587
Heather Carlson,Afghanistan,doctor,argue,8181,2240
Lynn Gonzalez,Comoros,season,first,1660,2133
Allison Lopez,Angola,development,leave,1562,1110
Stacy Schmidt,Korea South,memory,someone,8265,77
Jeffrey Valencia,Denmark,pay,figure,5561,4707
Fernando Schmidt,Cyprus,treatment,theory,5110,1345
James Cooper,France,entire,experience,1167,1748
Terrence Nguyen,Ecuador,wind,should,7623,4816
Tony Bates,Korea South,perform,administration,4323,1407
Jennifer Richmond,China,experience,want,4799,3455
Sean Wiggins,Comoros,score,a,5660,2932
Edward Griffin,Gabon,individual,entire,6504,3489
Willie Steele,Andorra,road,investment,9454,1403
Ashley Nelson,Gambia,head,guess,6011,4068
